"geneSymbol","diseaseName"
"SETD4","Colorectal Carcinoma"
"SETD5","Cornelia De Lange Syndrome|Neurodevelopmental Disorders|MENTAL RETARDATION, AUTOSOMAL DOMINANT 23"
"SETDB1","melanoma|Prostatic Neoplasms|Schizophrenia|Anhedonia|Malignant mesothelioma|Malignant neoplasm of prostate"
"SETX","Amyotrophic Lateral Sclerosis|Ataxias, Hereditary|Charcot-Marie-Tooth Disease|SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1|Amyotrophic Lateral Sclerosis 4, Juvenile"
"SEZ6","Liver Cirrhosis, Experimental"
"SEZ6L","Bipolar Disorder"
"SEZ6L2","Autistic Disorder"
"SF1","melanoma"
"SF3A1","Colorectal Carcinoma"
"SF3A3","HIV Infections|HIV Coinfection"
"SF3B1","Malignant Neoplasms|Chronic Lymphocytic Leukemia|Leukemia, Myelocytic, Acute|Prostatic Neoplasms|Uveal melanoma|Malignant mesothelioma|Malignant melanoma of iris|Malignant melanoma of choroid|Malignant neoplasm of prostate|Refractory anemia with ringed sideroblasts|Hematopoetic Myelodysplasia|MYELODYSPLASTIC SYNDROME"
"SF3B4","Congenital small ears|Nager syndrome|Acrofacial dysostosis Rodriguez type"
"SFN","Squamous cell carcinoma|Esophageal Neoplasms|Keloid|Lymphatic Metastasis|Mouth Neoplasms|Adenocarcinoma of lung (disorder)|Malignant neoplasm of mouth|Squamous cell carcinoma of esophagus|Malignant neoplasm of esophagus|Liver carcinoma"
"SFPQ","HIV Infections|Dermatologic disorders|Arsenic Poisoning, Inorganic|Nervous System, Organic Arsenic Poisoning|Arsenic Poisoning|Arsenic Encephalopathy|Arsenic Induced Polyneuropathy|HIV Coinfection|MiT family translocation renal cell carcinoma"
"SFRP1","Bipolar Disorder|Malignant neoplasm of breast|Colorectal Carcinoma|Colorectal Neoplasms|Mental Depression|Depressive disorder|Fibrosis|Heart Diseases|Inflammatory Bowel Diseases|Fibroid Tumor|Uterine Fibroids|Breast Carcinoma|Heart Failure, Diastolic|Mammary Neoplasms, Human|Mammary Neoplasms|Cirrhosis|Liver carcinoma|Mammary Carcinoma, Human"
"SFRP2","Malignant neoplasm of breast|Renal Cell Carcinoma|Colorectal Carcinoma|Colorectal Neoplasms|Inflammatory Bowel Diseases|Conventional (Clear Cell) Renal Cell Carcinoma|Breast Carcinoma|Mammary Neoplasms, Human|Chromophobe Renal Cell Carcinoma|Sarcomatoid Renal Cell Carcinoma|Collecting Duct Carcinoma of the Kidney|Papillary Renal Cell Carcinoma|Mammary Neoplasms|Mammary Carcinoma, Human"
"SFRP4","Arthritis, Adjuvant-Induced|Colorectal Carcinoma|Colorectal Neoplasms|Corpus Luteum Cyst|Diabetes Mellitus, Non-Insulin-Dependent|Ovarian Cysts|Pyle metaphyseal dysplasia|Arthritis, Collagen-Induced|Arthritis, Experimental"
"SFRP5","Malignant neoplasm of breast|Colorectal Carcinoma|Colorectal Neoplasms|Breast Carcinoma|Mammary Neoplasms, Human|Mammary Neoplasms|Mammary Carcinoma, Human"
"SFSWAP","Autism Spectrum Disorders"
"SFTPA1","Hamman-Rich syndrome|Idiopathic Pulmonary Fibrosis|Familial Idiopathic Pulmonary Fibrosis"
"SFTPA2","Hamman-Rich syndrome|Idiopathic Pulmonary Fibrosis|Hamman-Rich Disease|Usual Interstitial Pneumonia|Familial Idiopathic Pulmonary Fibrosis"
"SFTPB","Diaphragmatic Hernia|Hyaline Membrane Disease|Lung diseases|Lung Neoplasms|Respiratory Distress Syndrome, Newborn|Malignant neoplasm of lung|Respiratory Distress Syndrome|Surfactant Metabolism Dysfunction, Pulmonary, 1"
"SFTPC","Diaphragmatic Hernia|Hyaline Membrane Disease|Polycystic Ovary Syndrome|Pulmonary Alveolar Proteinosis|Respiratory Distress Syndrome, Newborn|Hamman-Rich syndrome|Adenocarcinoma of lung (disorder)|Lung Diseases, Interstitial|Respiratory Distress Syndrome|Sclerocystic Ovaries|Idiopathic Pulmonary Fibrosis|SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 2 (disorder)|Hamman-Rich Disease|Usual Interstitial Pneumonia|Familial Idiopathic Pulmonary Fibrosis"
"SFTPD","Chronic Obstructive Airway Disease|Lung Neoplasms|Malignant neoplasm of lung|Acute Lung Injury|Chronic Airflow Obstruction"
"SFXN1","Colorectal Carcinoma|Colorectal Neoplasms|Adenocarcinoma of lung (disorder)"
"SFXN4","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 18"
"SGCA","Atrial Fibrillation|Paroxysmal atrial fibrillation|Muscular Dystrophies, Limb-Girdle|Persistent atrial fibrillation|Sarcoglycanopathies|Alpha-Sarcoglycanopathies|familial atrial fibrillation"
"SGCB","Cardiomyopathy, Dilated|Liver Cirrhosis, Experimental|Cardiomyopathies, Primary|Myocardial Diseases, Secondary|Muscular Dystrophies, Limb-Girdle|Cardiomyopathies|Limb-girdle muscular dystrophy, type 2E"
"SGCD","Cardiomyopathies, Primary|Myocardial Diseases, Secondary|Familial dilated cardiomyopathy|Muscular Dystrophies, Limb-Girdle|Cardiomyopathies|Limb-girdle muscular dystrophy type 2F|CARDIOMYOPATHY, DILATED, 1L|Anorectal Malformations"
"SGCE","Alcoholic Intoxication, Chronic|Mental Depression|Depressive disorder|Myoclonic dystonia"
"SGCG","Degenerative polyarthritis|Osteoarthrosis Deformans|Severe autosomal recessive muscular dystrophy of childhood - North African type (disorder)|Muscular Dystrophies, Limb-Girdle"
"SGCZ","Dermatologic disorders|Amphetamine-Related Disorders|Amphetamine Addiction|Amphetamine Abuse"
"SGF29","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"SGIP1","Alcoholic Intoxication, Chronic"
"SGK1","Carcinoma|Diabetic Neuropathies|Leukemia, Myelocytic, Acute|Animal Mammary Neoplasms|Mammary Neoplasms, Experimental|Acute Myeloid Leukemia, M1|Unipolar Depression|Uremia|Diffuse Large B-Cell Lymphoma|Anaplastic carcinoma|Carcinoma, Spindle-Cell|Undifferentiated carcinoma|Carcinomatosis|Symmetric Diabetic Proximal Motor Neuropathy|Asymmetric Diabetic Proximal Motor Neuropathy|Diabetic Mononeuropathy|Diabetic Polyneuropathies|Diabetic Amyotrophy|Diabetic Autonomic Neuropathy|Diabetic Asymmetric Polyneuropathy|Diabetic Neuralgia|Mammary Carcinoma, Animal|Major Depressive Disorder|Acute Myeloid Leukemia (AML-M2)"
"SGK2","Liver Cirrhosis, Experimental|Adenocarcinoma of lung (disorder)"
"SGK3","Malignant neoplasm of breast"
"SGMS2","Doughnut Lesions of Skull, Familial"
"SGO1","Cardiac Arrhythmia|Intestinal Diseases|Chronobiology Disorders|Circadian Rhythm Disorders|Psychogenic Inversion of Circadian Rhythm|Chronic atrial and intestinal dysrhythmia"
"SGO2","Gonadal dysgenesis XX type deafness"
"SGPL1","Adrenal gland hypofunction|Focal glomerulosclerosis|Hydrops Fetalis|Ichthyoses|Lymphopenia|Steroid-resistant nephrotic syndrome|Neurologic Deficits|Steroid resistant nephrotic syndrome of childhood|NEPHROTIC SYNDROME, TYPE 14"
"SGSH","Mucopolysaccharidosis III|Seizures|Mucopolysaccharidosis Type IIIA|MPS III B|MPS III C|MPS III D"
"SH2B1","Obesity|OBESITY, SUSCEPTIBILITY TO|CHROMOSOME 16p11.2 DELETION SYNDROME, 593-KB|CHROMOSOME 16p11.2 DELETION SYNDROME, 220-KB|BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 16|AUTISM, SUSCEPTIBILITY TO, 14A"
"SH2B3","Primary Myelofibrosis|Autoimmune state|Coronary Arteriosclerosis|Diabetes Mellitus, Insulin-Dependent|Inflammation|Acute lymphocytic leukemia|Leukemia, Myelocytic, Acute|Lupus Erythematosus, Systemic|Myocardial Infarction|Polycythemia Vera|Cerebrovascular accident|Thrombocythemia, Essential|Vitiligo|Diabetes, Autoimmune|Libman-Sacks Disease|Brittle diabetes|Juvenile Myelomonocytic Leukemia|Hematologic Neoplasms|Acute Cerebrovascular Accidents|Coronary Artery Disease|Precursor Cell Lymphoblastic Leukemia Lymphoma|MYELODYSPLASTIC SYNDROME|Thrombocytosis, Autosomal Dominant|Diabetes Mellitus, Ketosis-Prone|Erythrocytosis familial, 1|Diabetes Mellitus, Sudden-Onset"
"SH2D1A","Lymphoma|Lymphoproliferative Disorders|X-Linked Lymphoproliferative Disorder"
"SH2D3A","Malignant neoplasm of breast"
"SH3BGRL2","Juvenile-Onset Still Disease|Juvenile arthritis|Juvenile psoriatic arthritis|Polyarthritis, Juvenile, Rheumatoid Factor Negative|Polyarthritis, Juvenile, Rheumatoid Factor Positive"
"SH3BGRL3","Liver Cirrhosis, Experimental"
"SH3BP2","Cherubism|Autoinflammatory disorder"
"SH3GL1","Leukemia, Myelocytic, Acute|Acute Myeloid Leukemia, M1|Acute Myeloid Leukemia (AML-M2)"
"SH3KBP1","Malignant tumor of colon|Colonic Neoplasms|AGAMMAGLOBULINEMIA, X-LINKED, TYPE 2 (disorder)"
"SH3PXD2A","Atrial Fibrillation|Schizophrenia|Cerebrovascular accident|Neurofibrosarcoma|Paroxysmal atrial fibrillation|Malignant Peripheral Nerve Sheath Tumor|Acute Cerebrovascular Accidents|Persistent atrial fibrillation|familial atrial fibrillation"
"SH3PXD2B","Bone Diseases, Developmental|Eye Abnormalities|Growth Disorders|Craniofacial Abnormalities|Disproportionate short stature|hearing impairment|Ter Haar syndrome"
"SH3RF3","Amphetamine-Related Disorders|Amphetamine Addiction|Amphetamine Abuse"
"SH3TC1","Colorectal Carcinoma|Colorectal Neoplasms"
"SH3TC2","CHARCOT-MARIE-TOOTH DISEASE, TYPE 4C|MONONEUROPATHY OF THE MEDIAN NERVE, MILD"
"SHANK1","Anxiety Disorders|Autistic Disorder|Renal Cell Carcinoma|Colorectal Carcinoma|Developmental Coordination Disorder|Motor Skills Disorders|Psychotic Disorders|Schizophrenia|Conventional (Clear Cell) Renal Cell Carcinoma|Nonorganic psychosis|Anxiety States, Neurotic|Chromophobe Renal Cell Carcinoma|Sarcomatoid Renal Cell Carcinoma|Collecting Duct Carcinoma of the Kidney|Anxiety neurosis (finding)|Papillary Renal Cell Carcinoma"
"SHANK2","Autistic Disorder|Bipolar Disorder|Depression, Bipolar|Profound Mental Retardation|Manic Disorder|Mental Retardation, Psychosocial|Manic|Mental deficiency|AUTISM, SUSCEPTIBILITY TO, 17|Intellectual Disability"
"SHANK3","Autistic Disorder|Developmental Disabilities|Profound Mental Retardation|Language Delay|Language Development Disorders|Mental Retardation, Psychosocial|Schizophrenia|Child Development Deviations|Child Development Disorders, Specific|Speech Delay|Manic|Semantic-Pragmatic Disorder|Manic mood|Auditory Processing Disorder, Central|Mental deficiency|Autism Spectrum Disorders|22q13.3 Deletion Syndrome|SCHIZOPHRENIA 15|Intellectual Disability"
"SHARPIN","Dermatitis|Eosinophilia|Eosinophilia, Tropical"
"SHBG","Alcohol Use Disorder|Alcoholic Intoxication, Chronic|Cardiomyopathy, Dilated|Diabetes Mellitus, Non-Insulin-Dependent|Lymphatic Metastasis|Neoplasm Invasiveness|Prostatic Neoplasms|Alcohol abuse|Erectile dysfunction|Malignant neoplasm of prostate|Metabolic Syndrome X|Cardiomyopathy, Familial Idiopathic"
"SHC1","Cardiomegaly|Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Cardiac Hypertrophy|AMYOTROPHIC LATERAL SCLEROSIS 1|Amyotrophic Lateral Sclerosis, Sporadic|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity|Amyotrophic Lateral Sclerosis, Familial"
"SHCBP1","Liver Cirrhosis, Experimental|synovial sarcoma"
"SHH","Eye Abnormalities|Secondary Parkinson Disease|Arhinencephaly|Holoprosencephaly|Polydactyly|Longitudinal deficiency of radius|Schizencephaly|Cyclocephaly|Radial polydactyly|Lobar Holoprosencephaly|Alobar Holoprosencephaly|Parkinson Disease, Secondary Vascular|Atherosclerotic Parkinsonism|Semilobar Holoprosencephaly|SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR|HOLOPROSENCEPHALY 3|Facial Dysmorphism with Multiple Malformations|Syndactyly, Type IV|POLYDACTYLY, PREAXIAL II (disorder)|MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 5 (disorder)|Liver carcinoma|Microphthalmia associated with colobomatous cyst|Familial schizencephaly"
"SHISA3","Liver Cirrhosis, Experimental"
"SHMT1","Malignant neoplasm of breast|Drug toxicity|Reticulosarcoma|Lymphoma, Mixed-Cell|Lymphoma, Non-Hodgkin|Lymphoma, Undifferentiated|nervous system disorder|Schizophrenia|Adverse reaction to drug|High Grade Lymphoma (neoplasm)|Lymphoma, Intermediate-Grade|Low Grade Lymphoma (neoplasm)|Diffuse Mixed-Cell Lymphoma|Lymphoma, Small Noncleaved-Cell|Adenocarcinoma of lung (disorder)|Breast Carcinoma|Mammary Neoplasms, Human|Mammary Neoplasms|Lymphoma, Diffuse|Mammary Carcinoma, Human|Lymphoma, Non-Hodgkin, Familial"
"SHMT2","Non-Small Cell Lung Carcinoma"
"SHOC2","Hair Diseases|Noonan Syndrome|Turner Syndrome, Male|LEOPARD Syndrome|Costello syndrome (disorder)|Cardio-facio-cutaneous syndrome|Female Pseudo-Turner Syndrome|Noonan syndrome-like disorder with loose anagen hair|Noonan-Like Syndrome With Loose Anagen Hair|NOONAN SYNDROME-LIKE DISORDER WITH LOOSE ANAGEN HAIR 1|Noonan Syndrome 1"
"SHOX","Leri-Weill dyschondrosteosis|Langer Mesomelic Dysplasia Syndrome|Disproportionate short stature|SHORT STATURE, IDIOPATHIC, X-LINKED|Dorsolateral bowed, short radii|Radial bowing"
"SHPK","Deficiency of sedoheptulokinase"
"SHROOM2","Malignant neoplasm of breast"
"SHROOM3","Neural Tube Defects|Situs ambiguus"
"SHROOM4","Stocco dos Santos syndrome|Intellectual Disability"
"SI","Sucrase-isomaltase deficiency, congenital"
"SIAE","Autoimmune Diseases|AUTOIMMUNE DISEASE, SUSCEPTIBILITY TO, 6"
"SIAH2","Lens Diseases"
"SIDT2","Lung Neoplasms|Malignant neoplasm of lung"
"SIGLEC1","Influenza"
"SIGLEC5","Liver Cirrhosis, Experimental"
"SIGLEC6","Lupus Erythematosus, Systemic|Libman-Sacks Disease"
"SIGLEC7","Colorectal Carcinoma"
"SIGMAR1","Alcoholic Intoxication, Chronic|Amnesia|Amyotrophic Lateral Sclerosis|Cocaine Abuse|HIV Infections|Jacksonian Seizure|Learning Disorders|Memory Disorders|Prenatal Exposure Delayed Effects|Schizophrenia|Seizures|Complex partial seizures|Hysterical amnesia|Memory impairment|Temporary Amnesia|Generalized seizures|Clonic Seizures|Cocaine-Related Disorders|Dissociative Amnesia|Global Amnesia|Visual seizure|Tonic Seizures|Epileptic drop attack|Amyotrophic Lateral Sclerosis With Dementia|Seizures, Somatosensory|Seizures, Auditory|Olfactory seizure|Gustatory seizure|Vertiginous seizure|Tonic - clonic seizures|Mood Disorders|Amyotrophic Lateral Sclerosis, Guam Form|Cocaine Dependence|Tactile Amnesia|Amnestic State|Non-epileptic convulsion|Frontotemporal Lobar Degeneration|Single Seizure|Atonic Absence Seizures|Adult Learning Disorders|Learning Disturbance|Learning Disabilities|Age-Related Memory Disorders|Memory Disorder, Semantic|Memory Disorder, Spatial|Memory Loss|Convulsive Seizures|Seizures, Focal|Seizures, Sensory|Developmental Academic Disorder|Spinal muscular atrophy, Jerash type|AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE|Juvenile amyotrophic lateral sclerosis|Nonepileptic Seizures|Convulsions|Absence Seizures|Epileptic Seizures|Myoclonic Seizures|Generalized Absence Seizures|HIV Coinfection"
"SIK1","Cardiomyopathy, Dilated|West Syndrome|Juvenile-Onset Still Disease|Early myoclonic encephalopathy|Metastatic melanoma|Early infantile epileptic encephalopathy with suppression bursts|Cardiomyopathy, Familial Idiopathic|Glioblastoma Multiforme|EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 1|Juvenile arthritis|Juvenile psoriatic arthritis|EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 30|X-linked infantile spasms|Polyarthritis, Juvenile, Rheumatoid Factor Negative|Polyarthritis, Juvenile, Rheumatoid Factor Positive"
"SIK3","Malignant neoplasm of breast|SPONDYLOEPIMETAPHYSEAL DYSPLASIA, KRAKOW TYPE"
"SIL1","Ataxias, Hereditary|Marinesco-Sjogren syndrome|Cerebellar Degenerations, Primary|Prostatic Neoplasms|Spinocerebellar Degeneration|Marie Cerebellar Ataxia|Corticostriatal-Spinal Degeneration|Malignant neoplasm of prostate|Cerebellar Ataxia, Early Onset|Cerebellar Ataxia, Late Onset|Inherited neuropathies|Anorectal Malformations"
"SIM1","Malignant neoplasm of breast|Hyperglycemia|Obesity|Breast Carcinoma|Mammary Neoplasms, Human|Mammary Neoplasms|Hyperglycemia, Postprandial|Mammary Carcinoma, Human"
"SIM2","Cleft Palate|Craniofacial Abnormalities|Cleft palate, isolated"
"SIN3A","Communicating Hydrocephalus|Dwarfism|Hydrocephalus|Congenital Hydrocephalus|Profound Mental Retardation|Mental Retardation, Psychosocial|Microcephaly|Agenesis of corpus callosum|Hydrocephalus Ex-Vacuo|Craniofacial Abnormalities|Post-Traumatic Hydrocephalus|Obstructive Hydrocephalus|Mental deficiency|Autism Spectrum Disorders|Cerebral ventriculomegaly|Microlissencephaly|AUTISM, SUSCEPTIBILITY TO, 15|Fetal Cerebral Ventriculomegaly|Aqueductal Stenosis|Corpus Callosum Malformation|15q24 Microdeletion|Intellectual Disability|Severe Congenital Microcephaly|WITTEVEEN-KOLK SYNDROME"
"SIPA1","melanoma"
"SIPA1L1","Malignant neoplasm of breast|Weight Gain|Juvenile-Onset Still Disease|Heart Failure, Diastolic|Juvenile arthritis|Juvenile psoriatic arthritis|Polyarthritis, Juvenile, Rheumatoid Factor Negative|Polyarthritis, Juvenile, Rheumatoid Factor Positive"
"SIPA1L3","Congenital total cataract|CATARACT 45"
"SIRPA","Precancerous Conditions|Condition, Preneoplastic"
"SIRPB1","Schizophrenia"
"SIRT1","Alloxan Diabetes|Atherosclerosis|Atrial Fibrillation|Autoimmune Diseases|Bipolar Disorder|Brain Neoplasms|Malignant neoplasm of breast|Colitis|Demyelinating Diseases|Demyelination|Diabetes Mellitus|Diabetes Mellitus, Experimental|Diabetes Mellitus, Non-Insulin-Dependent|Diabetic Retinopathy|Experimental Autoimmune Encephalomyelitis|Fatty Liver|Fibrosis|Heart Diseases|Heart failure|Congestive heart failure|HIV Infections|Hypertrophy|Insulin Resistance|Kidney Failure, Acute|Left-Sided Heart Failure|Liver Cirrhosis, Experimental|Myocardial Reperfusion Injury|Neoplasm Metastasis|Nerve Degeneration|Obesity|Osteosarcoma|Pneumonia|Lobar Pneumonia|Prostatic Neoplasms|Retinal Diseases|Schizophrenia|Systemic Scleroderma|Streptozotocin Diabetes|Thrombosis|Wallerian Degeneration|Alcohol abuse|Thrombus|Malignant neoplasm of brain|Streptococcal pneumonia|Todd Paralysis|Paroxysmal atrial fibrillation|Heart Failure, Right-Sided|Degenerative Diseases, Central Nervous System|Impaired glucose tolerance|Lung Injury|Malignant neoplasm of prostate|Anterior Cerebral Circulation Infarction|Non-alcoholic Fatty Liver Disease|Benign neoplasm of brain, unspecified|Paralysed|Metabolic Syndrome X|Neurodegenerative Disorders|Mood Disorders|Breast Carcinoma|Brain Tumor, Primary|Recurrent Brain Neoplasm|Primary malignant neoplasm of brain|Degenerative Diseases, Spinal Cord|Anterior Circulation Brain Infarction|Brain Infarction, Posterior Circulation|Venous Infarction, Brain|Brain Infarction|Experimental Lung Inflammation|Genomic Instability|Insulin Sensitivity|Mammary Neoplasms, Human|Mammary Neoplasms|Neoplasms, Intracranial|Atherogenesis|Acute Kidney Insufficiency|Cirrhosis|Myocardial Failure|Heart Decompensation|Clinically Isolated Syndrome, CNS Demyelinating|Chronic Lung Injury|Persistent atrial fibrillation|Acute kidney injury|Steatohepatitis|Ceroid lipofuscinosis, neuronal 1, infantile|Nonalcoholic Steatohepatitis|familial atrial fibrillation|Pneumonitis|HIV Coinfection|Mammary Carcinoma, Human"
"SIRT2","Mood Disorders|Disturbance in mood"
"SIRT3","Squamous cell carcinoma|Mouth Neoplasms|Obesity|Gestational Diabetes|Malignant neoplasm of mouth"
"SIRT4","Cardiomegaly|Endomyocardial Fibrosis|Cardiac Hypertrophy"
"SIRT6","Cardiomegaly|Cardiac Hypertrophy"
"SIRT7","Fatty Liver|Reperfusion Injury|Systemic Scleroderma|Steatohepatitis"
"SIVA1","Coxsackievirus Infections"
"SIX1","Congenital Abnormality|Endometrial Neoplasms|Nephroblastoma|Congenital small ears|Branchio-Oto-Renal Syndrome|Branchio-Oculo-Facial Syndrome|Craniofacial Abnormalities|Endometrial Carcinoma|hearing impairment|BRANCHIOOTIC SYNDROME 3 (disorder)|DEAFNESS, AUTOSOMAL DOMINANT 23|BRANCHIOOTIC SYNDROME 1|Branchiootorenal Syndrome 2|Bilateral Wilms Tumor|ANTERIOR SEGMENT ANOMALIES WITH OR WITHOUT CATARACT|Branchiootic syndrome|Branchiootorenal Syndrome 1"
"SIX2","Kidney Diseases|Nephroblastoma|AMYOTROPHIC LATERAL SCLEROSIS 1|Amyotrophic Lateral Sclerosis, Sporadic|Cakut|Bilateral Wilms Tumor|Amyotrophic Lateral Sclerosis, Familial"
"SIX3","Liver neoplasms|Precancerous Conditions|Arhinencephaly|Holoprosencephaly|Schizencephaly|Condition, Preneoplastic|Malignant neoplasm of liver|Lobar Holoprosencephaly|Alobar Holoprosencephaly|Semilobar Holoprosencephaly|HOLOPROSENCEPHALY 2 (disorder)|HOLOPROSENCEPHALY 5|Familial schizencephaly"
"SIX4","Malignant neoplasm of breast"
"SIX5","Congenital small ears|Branchio-Oto-Renal Syndrome|Branchio-Oculo-Facial Syndrome|Branchiootorenal Syndrome 2|Branchiootorenal Syndrome 1"
"SIX6","Myopia|MICROPHTHALMIA, ISOLATED 1|Microphthalmia, Isolated, with Cataract 2|Microphthalmia, Syndromic 3|OPTIC DISC ANOMALIES WITH RETINAL AND/OR MACULAR DYSTROPHY|Microphthalmos, Autosomal Recessive"
"SKA1","Liver carcinoma"
"SKA3","Liver carcinoma"
"SKAP1","ovarian neoplasm|Malignant neoplasm of ovary"
"SKAP2","Liver Cirrhosis, Experimental"
"SKI","Aortic Aneurysm|Diastematomyelia|Neural Tube Defects|Neurenteric Cyst|Tethered Cord Syndrome|Congenital musculoskeletal anomalies|Iniencephaly|Craniorachischisis|Schinzel-Giedion syndrome|Exencephaly|Spinal Cord Myelodysplasia|Craniofacial Abnormalities|Acrania|Shprintzen-Goldberg syndrome|Chromosome 1p36 Deletion Syndrome|Familial thoracic aortic aneurysm and aortic dissection"
"SKIL","Pulmonary Fibrosis|Dermatologic disorders|Arsenic Poisoning, Inorganic|Nervous System, Organic Arsenic Poisoning|Arsenic Poisoning|Arsenic Encephalopathy|Arsenic Induced Polyneuropathy|Paraquat lung|Alveolitis, Fibrosing"
"SKIV2L","Malignant neoplasm of breast|Colorectal Carcinoma|Immune System Diseases|Trichohepatoenteric Syndrome|TRICHOHEPATOENTERIC SYNDROME 2|MEMORY QUANTITATIVE TRAIT LOCUS"
"SKP2","Malignant Neoplasms|Medulloblastoma|Neoplasms|Diffuse Large B-Cell Lymphoma|Benign Neoplasm|Medullomyoblastoma|Childhood Medulloblastoma|Adult Medulloblastoma|Desmoplastic Medulloblastoma|ovarian neoplasm|Malignant neoplasm of ovary|Melanotic medulloblastoma|Liver carcinoma"
"SLA","Liver Cirrhosis, Experimental|Vitiligo"
"SLAMF1","Malignant neoplasm of breast"
"SLAMF8","Inflammatory Bowel Diseases"
"SLAMF9","Liver Cirrhosis, Experimental"
"SLBP","Congenital ocular coloboma (disorder)|Optic Atrophy|Retinal Dysplasia|Uveoretinal Coloboma"
"SLC10A1","Hepatitis B|Liver Cirrhosis, Experimental"
"SLC10A2","Cognition Disorders|Drug abuse|Drug habituation|Drug Use Disorders|nervous system disorder|Organic Mental Disorders, Substance-Induced|Substance Dependence|Substance Use Disorders|Substance-Related Disorders|Complications of Diabetes Mellitus|Substance abuse problem|Drug Dependence|Bile Acid Malabsorption, Primary|Prescription Drug Abuse"
"SLC10A6","Malignant neoplasm of breast|Breast Carcinoma|Mammary Neoplasms, Human|Mammary Neoplasms|Mammary Carcinoma, Human"
"SLC10A7","Cholestasis|Dwarfism|Hepatitis, Toxic|Osteochondrodysplasias|Scoliosis, unspecified|Short stature|Skeletal dysplasia|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Short Stature, CTCAE|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"SLC11A1","Rheumatoid Arthritis|Ulcerative Colitis|Crohn Disease|Dermatitis, Atopic|Diabetes Mellitus, Insulin-Dependent|Food Allergy|HIV Infections|Inflammatory Bowel Diseases|Kidney Failure, Acute|Leishmaniasis, Visceral|Leprosy|Meningococcal meningitis|Multiple Sclerosis|Sarcoidosis|Tuberculosis|Buruli Ulcer|Eczema, Infantile|Juvenile-Onset Still Disease|Crohn's disease of large bowel|Diabetes, Autoimmune|Crohn's disease of the ileum|Brittle diabetes|Regional enteritis|Multiple Sclerosis, Acute Fulminating|IIeocolitis|Meningitis, Meningococcal, Serogroup A|Meningitis, Meningococcal, Serogroup B|Meningitis, Meningococcal, Serogroup C|Meningitis, Meningococcal, Serogroup Y|Meningitis, Meningococcal, Serogroup W-135|Acute Kidney Insufficiency|MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO (finding)|Acute kidney injury|Juvenile arthritis|Juvenile psoriatic arthritis|Diabetes Mellitus, Ketosis-Prone|HIV Coinfection|Polyarthritis, Juvenile, Rheumatoid Factor Negative|Diabetes Mellitus, Sudden-Onset|Polyarthritis, Juvenile, Rheumatoid Factor Positive"
"SLC11A2","Colorectal Carcinoma|Hemochromatosis|Liver neoplasms|Iron deficiency anemia|Malignant neoplasm of liver|Hereditary hemochromatosis|Anemia, Hypochromic Microcytic, With Iron Overload|ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 1"
"SLC12A1","Bartter Disease|Bartter syndrome, antenatal type 1"
"SLC12A2","Carcinoma|Cardiovascular Diseases|Epilepsy|Epilepsy, Temporal Lobe|Uncinate Epilepsy|Hypertensive disease|Animal Mammary Neoplasms|Mammary Neoplasms, Experimental|Movement Disorders|Prostatic Neoplasms|Psychotic Disorders|Schizophrenia|Epilepsy, Cryptogenic|Anaplastic carcinoma|Carcinoma, Spindle-Cell|Undifferentiated carcinoma|Carcinomatosis|Aura|Etat Marbre|Impaired glucose tolerance|Malignant neoplasm of prostate|Epilepsy, Benign Psychomotor, Childhood|Epilepsy, Lateral Temporal|Awakening Epilepsy|Mammary Carcinoma, Animal"
"SLC12A3","Renal tubular acidosis|Hypertensive disease|Kidney Diseases|Nephritis, Interstitial|Nephritis, Tubulointerstitial|Vascular Diseases|Gitelman Syndrome|Renal glomerular disease|Glomerulopathy Assessment"
